method,validation_mean_over_oz,final_ood_mean_over_oz,validation_delta_vs_nvp,final_ood_delta_vs_nvp,paper_display
NVP,0.06277100953471096,0.08715469206982522,0.0,0.0,0.06277 / 0.08715
MLP,0.06224203633966229,0.08199445421951396,-0.0005289731950486667,-0.005160237850311264,0.06224 / 0.08199
LSTM,0.06063541070748835,0.08445278226557085,-0.0021355988272226054,-0.0027019098042543738,0.06064 / 0.08445
Transformer,0.06297066721540395,0.08439936883039871,0.00019965768069299394,-0.0027553232394265104,0.06297 / 0.08440
Mamba,0.06355291510205446,0.08462666303481921,0.0007819055673435049,-0.002528029035006013,0.06355 / 0.08463
Direct MambaNVP,0.06260238916621794,0.08765961330771414,-0.0001686203684930221,0.0005049212378889223,0.06260 / 0.08766
Anchored MambaNVP,0.06211450015684102,0.08778864950836797,-0.0006565093778699363,0.0006339574385427482,0.06211 / 0.08779
PA-MambaNVP,0.06771170961823382,0.08914712188120406,0.0049407000835228615,0.001992429811378843,0.06771 / 0.08915
