N_valid,dataset_id,delta_mean_over_oz_vs_nvp,delta_mean_policy45_regret_vs_nvp,margin_bin_regret,mean_admitted_candidate_count,mean_candidate_value_cross_entropy,mean_kendall_tau_b,mean_mean_admitted_candidate_length,mean_mean_over_oz,mean_oracle_rank,mean_oracle_top1_hit,mean_oracle_top5_hit,mean_policy45_regret_bytes,mean_score_length_pearson,mean_spearman,mean_top10_pairwise_inversions,mean_top5_pairwise_inversions,median_admitted_candidate_count,median_candidate_value_cross_entropy,median_kendall_tau_b,median_mean_admitted_candidate_length,median_mean_over_oz,median_oracle_rank,median_oracle_top1_hit,median_oracle_top5_hit,median_policy45_regret_bytes,median_score_length_pearson,median_spearman,median_top10_pairwise_inversions,median_top5_pairwise_inversions,method,policy_cases,selected_length_regret,spearman_ce_vs_mean_over_oz,spearman_ce_vs_oracle_rank,spearman_ce_vs_policy45_regret,split
450,clgen-v0,0.00011701984631165563,-0.00666666666666671,"{'small': 0.4295774647887324, 'large': 6.833333333333333}",3.8955555555555557,3.77044574002698,0.5457623474828049,13.603777777777779,0.10121333223515253,3.0,0.7,0.8488888888888889,0.7711111111111111,0.4560620414499533,0.6826498382747358,1.8933333333333333,0.2822222222222222,4.0,3.765338886175316,0.5796323152563215,13.5,0.08783783783783784,1.0,1.0,1.0,0.0,0.45144511046217506,0.7312099307986939,0.0,0.0,AnchoredMambaNVP,"{'oracle_admitted_zero_regret': 372, 'oracle_not_admitted_top10': 43, 'oracle_not_admitted_beyond_top10': 32, 'oracle_admitted_nonzero_regret': 3}","{'8': 1.0833333333333333, '9': 0.8260869565217391, '10': 0.5357142857142857, '11': 5.0, '12': 0.0, '13': 0.6583333333333333, '14': 0.44, '15': 0.0, '16': 2.3157894736842106, '18': 0.3, '20': 0.5652173913043478}",-0.15207442005283367,0.2835239182169733,0.19690219153623903,final
450,clgen-v0,-2.3283316080424665e-06,0.0,"{'small': 0.43661971830985913, 'large': 6.833333333333333}",3.8666666666666667,3.770212591320722,0.5466320116719503,13.663185185185183,0.10109398405723283,2.988888888888889,0.7022222222222222,0.8555555555555555,0.7777777777777778,0.456333522290715,0.683398534749703,1.8777777777777778,0.2777777777777778,4.0,3.7649940637664945,0.5795139114404122,13.5,0.08783783783783784,1.0,1.0,1.0,0.0,0.45229155633194534,0.7332093251863813,0.0,0.0,DirectMambaNVP,"{'oracle_admitted_zero_regret': 370, 'oracle_not_admitted_top10': 47, 'oracle_not_admitted_beyond_top10': 30, 'oracle_admitted_nonzero_regret': 3}","{'8': 3.0, '9': 0.9047619047619048, '10': 0.22727272727272727, '11': 3.3333333333333335, '12': 0.0, '13': 0.7153846153846154, '14': 0.40186915887850466, '16': 1.8235294117647058, '18': 0.2571428571428571, '20': 0.65}",-0.1525537686542412,0.2859169234834915,0.19153541558731876,final
450,clgen-v0,0.0016415424887377267,-0.0755555555555556,"{'small': 0.38967136150234744, 'large': 6.25}",3.8244444444444445,3.809572316092439,0.5057482312137431,13.545629629629628,0.1027378548775786,2.568888888888889,0.7088888888888889,0.8955555555555555,0.7022222222222222,0.500182612903026,0.6371607759672286,1.7222222222222223,0.3,4.0,3.8044903458583406,0.530882268932204,13.5,0.09042553191489362,1.0,1.0,1.0,0.0,0.5146448970671031,0.6775700765145141,0.0,0.0,Mamba,"{'oracle_admitted_zero_regret': 388, 'oracle_not_admitted_beyond_top10': 22, 'oracle_not_admitted_top10': 37, 'oracle_admitted_nonzero_regret': 3}","{'8': 0.42857142857142855, '9': 0.25, '10': 1.9, '11': 0.4, '12': 1.0, '13': 0.9101123595505618, '14': 0.7025316455696202, '15': 0.9, '16': 0.6075949367088608, '17': 2.0, '18': 0.28125}",0.01971748712060395,0.3223188409013838,0.20841781922701202,final
450,clgen-v0,0.0,0.0,"{'small': 0.43661971830985913, 'large': 6.833333333333333}",3.888888888888889,3.7703607638003747,0.5452826224328308,13.560925925925927,0.10109631238884087,3.037777777777778,0.6888888888888889,0.8488888888888889,0.7777777777777778,0.4560519715295309,0.6822440634000003,1.9022222222222223,0.28444444444444444,4.0,3.7650969931783296,0.5762075875881859,13.25,0.08783783783783784,1.0,1.0,1.0,0.0,0.45083788355878995,0.7289852317304721,0.0,0.0,NVP,"{'oracle_admitted_zero_regret': 368, 'oracle_not_admitted_top10': 50, 'oracle_not_admitted_beyond_top10': 30, 'oracle_admitted_nonzero_regret': 2}","{'8': 0.5454545454545454, '9': 0.7450980392156863, '10': 0.48, '11': 4.4, '12': 0.5, '13': 0.7786259541984732, '14': 0.5125, '15': 0.0, '16': 2.4193548387096775, '18': 0.2571428571428571, '20': 0.18181818181818182}",-0.1495080107378911,0.27042060558453784,0.20655709823351764,final
144,csmith-v0,0.00032675455421882216,-3.9652777777777786,"{'small': 14.0, 'large': 32.22962962962963}",3.5972222222222223,3.3261030005332914,0.46167445656101297,14.95023148148148,0.2587247728239228,3.923611111111111,0.3819444444444444,0.8125,31.09027777777778,0.31849119098691614,0.6135364233252942,12.833333333333334,2.9375,4.0,3.5853448357252233,0.4692377754897705,14.875,0.2853682134632938,2.0,0.0,1.0,0.0,0.37562870450079233,0.6229602889018725,13.0,3.0,AnchoredMambaNVP,"{'oracle_admitted_zero_regret': 108, 'oracle_not_admitted_beyond_top10': 13, 'oracle_not_admitted_top10': 16, 'oracle_admitted_nonzero_regret': 7}","{'13': 53.525, '15': 3.857142857142857, '16': 44.513513513513516, '17': 14.897435897435898}",0.44004242266991767,0.5181169209669831,0.40630702296919485,final
144,csmith-v0,0.00023951911247205304,-3.243055555555557,"{'small': 14.0, 'large': 33.0}",3.5694444444444446,3.326102261898109,0.4613433822389594,14.978587962962962,0.25863753738217604,3.9791666666666665,0.3680555555555556,0.8125,31.8125,0.31964022273906756,0.6133541568758827,12.854166666666666,2.9444444444444446,4.0,3.586411840892828,0.471072247115214,15.0,0.2853682134632938,2.0,0.0,1.0,0.0,0.3800852231462146,0.6271815413002034,13.0,3.0,DirectMambaNVP,"{'oracle_admitted_zero_regret': 107, 'oracle_not_admitted_beyond_top10': 13, 'oracle_not_admitted_top10': 17, 'oracle_admitted_nonzero_regret': 7}","{'13': 50.56818181818182, '15': 1.0, '16': 46.0, '17': 16.153846153846153}",0.4394058163679819,0.5105922579522666,0.42631074815722664,final
144,csmith-v0,-0.014325164220764297,130.0763888888889,"{'small': 10.88888888888889, 'large': 175.4148148148148}",3.75,3.3945653649932916,0.3410771817927429,14.230324074074076,0.2440728540489397,7.159722222222222,0.375,0.6111111111111112,165.13194444444446,0.26503100302694854,0.4767004426246058,13.95138888888889,3.513888888888889,4.0,3.73298536346404,0.33458445183190133,14.25,0.26948480845442535,3.0,0.0,1.0,0.0,0.27001155623287626,0.4787378030907452,14.0,3.0,Mamba,"{'oracle_admitted_zero_regret': 77, 'oracle_not_admitted_beyond_top10': 37, 'oracle_not_admitted_top10': 22, 'oracle_admitted_nonzero_regret': 8}","{'8': 986.5625, '13': 53.82608695652174, '15': 8.727272727272727, '16': 140.075, '17': 36.61904761904762}",0.28020341373229896,0.6355702144772588,0.5007801798493456,final
144,csmith-v0,0.0,0.0,"{'small': 14.0, 'large': 36.45925925925926}",3.5625,3.326622791502147,0.46123904910158525,15.022569444444445,0.258398018269704,3.9305555555555554,0.375,0.8125,35.05555555555556,0.32249698018226175,0.6128872869845158,12.88888888888889,2.951388888888889,4.0,3.5859832229981623,0.4710823242288589,15.416666666666668,0.2853682134632938,2.0,0.0,1.0,0.0,0.39039694101403033,0.6214126396621122,13.0,3.0,NVP,"{'oracle_admitted_zero_regret': 107, 'oracle_not_admitted_beyond_top10': 12, 'oracle_not_admitted_top10': 17, 'oracle_admitted_nonzero_regret': 8}","{'13': 51.74418604651163, '15': 0.96, '16': 62.55555555555556, '17': 13.675}",0.44342523009157836,0.4956354172257958,0.37900941443636343,final
3000,github-v0,2.9946226034139635e-05,-0.04900000000000038,"{'small': 1.7467218771566597, 'large': 24.784313725490197}",4.302333333333333,3.863424281819754,0.15911005548167342,12.489623015873018,0.0072338933642013764,2.5513333333333335,0.891,0.937,2.53,0.1005553999523939,0.19394834366479677,1.1023333333333334,0.25766666666666665,4.0,3.9154978312473023,0.1020324430596358,12.5,0.0,1.0,1.0,1.0,0.0,0.11925654496596604,0.1257541164580574,0.0,0.0,AnchoredMambaNVP,"{'oracle_admitted_zero_regret': 2783, 'oracle_not_admitted_beyond_top10': 150, 'oracle_not_admitted_top10': 57, 'oracle_admitted_nonzero_regret': 10}","{'4': 0.10344827586206896, '7': 1.2936170212765958, '8': 5.70757180156658, '9': 0.0, '10': 3.2590909090909093, '11': 0.8279569892473119, '12': 2.239130434782609, '13': 3.524822695035461, '14': 1.8418367346938775, '15': 0.8504672897196262, '16': 1.427974947807933, '17': 3.502, '18': 6.637931034482759, '20': 0.3333333333333333}",-0.26830582758769733,-0.003060691247448561,0.06112858527283362,final
3000,github-v0,4.031871705304033e-05,-0.06766666666666676,"{'small': 1.73567977915804, 'large': 24.54901960784314}",4.309,3.863459170683703,0.159188181008206,12.502729365079364,0.007244265855220277,2.5363333333333333,0.8913333333333333,0.9363333333333334,2.5113333333333334,0.10406455256651145,0.1940006471298009,1.103,0.25533333333333336,4.0,3.915484151740529,0.10271661276724715,12.5,0.0,1.0,1.0,1.0,0.0,0.12294026220530735,0.1303673075005986,0.0,0.0,DirectMambaNVP,"{'oracle_admitted_zero_regret': 2783, 'oracle_not_admitted_beyond_top10': 148, 'oracle_not_admitted_top10': 62, 'oracle_admitted_nonzero_regret': 7}","{'4': 0.11707317073170732, '7': 0.9775510204081632, '8': 5.527272727272727, '9': 0.0, '10': 3.430622009569378, '11': 0.7840909090909091, '12': 2.207317073170732, '13': 2.4831460674157304, '14': 2.1338912133891212, '15': 0.8369565217391305, '16': 1.5835051546391752, '17': 3.8855291576673867, '18': 5.810344827586207, '20': 0.375}",-0.27039757874386827,-0.0034329908767858188,0.05634196560796609,final
